00005855n|Se conoce como juego sexual a los preludios del acto sexual.
00044003n|El escondite, tambien llamado escondecucas, escondidas, escondidillas, escondidijo, escondido, escondelero, esconderite, escondidita o resconde, es un juego popular que se juega mejor en zonas con potenciales puntos para ocultarse tales como un bosque, un parque, un jardin o una casa grande.
00044003n|Juego popular de niños en el que varias personas se esconden en torno a un area determinada, con el fin de que otro juegue a encontrarlos.
00044754n|La rayuela es un juego de iniciacion infantil, que representa el conocimiento de uno mismo, de donde provienen el juego del laberinto, la petanca y el juego de la oca.
00044874n|La herradura o herrones es un juego tradicional.
00044874n|Quoits es un tradicional juego de cesped en el que los participantes lanzan un anillo de metal o caucho a un conjunto de tierra con una estaca que tiene en el centro un parche de arcilla.
00045143n|El hula hoop o hula-hula es un juego que consiste en hacer girar un aro alrededor de la cintura o de otro miembro del cuerpo como brazos o piernas.
00047118n|Half-Life es un videojuego de disparos en primera persona de ciencia ficcion desarrollado por Valve Corporation, siendo este el juego debut de la compañia y el primero de lo que posteriormente pasaria a ser la serie Half-Life.
00048212n|Juego donde una persona o un grupo de personas debe reconstruir una imagen que ha sido cortada en muchas piezas que se encastran unas con otras.
00048212n|Una sierra de vaiven, sierra caladora o sierra de calar es un tipo de sierra utilizada para cortar curvas arbitrarias, como diseños de plantilla u otras formas, en una pieza de madera, enchapado, aglomerado, melamina, PVC, vidrio sintetico, carton, cuero, aluminio, zinc, poliestireno, corcho, fibrocemento, acero, etc.
00048213n|Un rompecabezas o puzle es un juego de mesa cuyo objetivo es formar una figura combinando correctamente las partes de esta, que se encuentran en distintos pedazos o piezas planas.
00051944n|El whist es un juego de naipes.
00052258n|Los juegos seculares eran unas celebraciones religiosas en las que se realizaban sacrificios y se llevaban a cabo representaciones teatrales.
00052777n|El mahjong, mah jong, mah-jongg, es un juego de mesa de origen chino, exportado al resto del mundo, y particularmente a Occidente, a partir de 1920.
00054915n|Bushido Blade es un videojuego de lucha en 3D desarrollado por Light Weight y publicado por Squaresoft y Sony Computer Entertainment para PlayStation.
00054915n|El es el simbolo constitucionalmente reconocido de la nacion japonesa y de la unidad de su pueblo.
00055745n|Monopoly es un juego de mesa de bienes raices, hoy en dia producido por la empresa estadounidense de accionistas Hasbro de Rhode Island.
00055746n|Monopoly es un juego de mesa de bienes raices, hoy en dia producido por la empresa estadounidense de accionistas Hasbro de Rhode Island.
00057725n|En este juego, dos jugadores a los que llamaremos David y Vicente, colocan un numero arbitrario de fichas sobre una superficie, separadas en filas o grupos.
00057735n|Bolos hace referencia a un juego que consiste en derribar por parte de cada jugador el mayor numero posible de bolos lanzando una bola o pieza, generalmente de madera.
00058185n|El tres en linea, tambien conocido como tres en raya, juego del gato, tateti, triqui, totito, tres en gallo, michi o la vieja, es un juego de lapiz y papel entre dos jugadores: O y X, que marcan los espacios de un tablero de 3x3 alternadamente.
00058827n|El culo sucio o poto sucio es un juego de naipes en el que el objetivo es descartarse de todas los naipes.
00060074n|Pachisi es el juego de mesa nacional de la India y Pakistan, descendiente del juego chaupar, o de creacion cercana a la epoca de creacion del chaupar.
00060714n|Un juego de salon es un juego grupal realizado bajo techo.
00060725n|El calambur es un juego de palabras que, basandose en la homonimia, en la paronimia o en la polisemia, consiste en modificar el significado de una palabra o frase agrupando de distinta forma sus silabas.
00060838n|Un juego de sociedad es un juego de tablero de reglamento simple, multijugador y dirigido a un publico no especializado, cuyo uso fundamental se da en el transcurso de las reuniones sociales.
00061016n|El solitario es un juego de naipes o cartas, muy popular en todo el mundo.
00062460n|El pinball, flipper, petacos o milloncete es un juego de salon mecanico, electromecanico o electronico a base una bola impulsada por un resorte que corre por un tablero con diversos diseños ornamentado con diversos componentes electronicos cuyo contacto con la bola otorga cierto puntaje al jugador, la bola era re-proyectada dentro del tablero por unas paletas o flippers.
00063272n|El poquer es un juego de cartas de los llamados de \"apuestas\", en los que los jugadores, con todas o parte de sus cartas ocultas, hacen apuestas sobre una puja inicial, recayendo la suma total de las apuestas en el jugador o jugadores con la mejor combinacion de cartas.
00063272n|Juego de cartas en el que se apuesta y se juego individualmente donde el ganador se determina en comparando las combinaciones obtenidas por cada jugador.
00065750n|Juego en el cual los jugadores intentan responder correctamente a preguntas.
00065750n|Un quiz es un tipo de juego de mente, concurso o competencia de preguntas en el cual los jugadores intentan responder en forma correcta una serie de preguntas.
00068373n|La ruleta es un juego de azar tipico de los casinos, cuyo nombre viene del termino frances roulette, que significa \"ruedita\" o \"rueda pequeña\".
00068531n|Rummy es un juego de naipes se juega con la baraja francesa o de poker o bien con fichas.
00068632n|La ruleta rusa es un juego letal y clandestino del que no se conoce su procedencia.
00068736n|La carrera de sacos es un juego muy popular entre los niños de todo el mundo.
00069806n|Scrabble es un juego de mesa en el cual cada jugador intenta ganar mas puntos mediante la construccion de palabras sobre un tablero de 15x15 casillas.
00071190n|El sh gi o ajedrez japones es un juego de mesa para dos jugadores perteneciente a la misma familia que el ajedrez y el xiangqi, todos ellos descendientes del juego indio chaturanga o algun otro tipo de pariente de juego cercano.
00072441n|El snooker es un juego de billar que se desarrolla en una mesa especial de medidas 3,6 m por 1,8 m, tambien llamada de doce pies.
00073735n|El squash es un deporte de raqueta, se practica en interiores con 2 jugadores y una pelota de goma que puede tener distintos grados de velocidad o rebote.
00073735n|Juego que se practica en un campo con una pared con pelotas de goma suave y raquetas similares a las del tenis.
00074259n|Juego infantil que consisten en un caballo (usualmente de madera o tela) montado sobre una vara.
00075106n|El palo es el simbolo que aparece en las barajas de cartas española y francesa.
00075106n|Una de varias clases de un juego de de cartas que se distinguen por su color o por emblemas especificos.
00076043n|El Tangrama es un juego chino muy antiguo, que consiste en formar siluetas de figuras con las siete piezas dadas sin solaparlas.
00118201n|Super Mario 64 es un videojuego de plataformas para la videoconsola Nintendo 64, desarrollado por Nintendo Entertainment Analysis and Development y publicado por la propia Nintendo.
00118816n|Vendetta, conocido en Japon como, es un videojuego de genero beat 'em up para arcade desarrollado y publicado por Konami en 1991.
00120960n|Millipede es un videojuego arcade publicado en 1982 por Atari.
00122590n|Super Mario Land 2: 6 Golden Coins es un videojuego desarrollado por Nintendo para la consola portatil Game Boy en 1992.
00123392n|Snow Bros es un juego de arcade lanzado en 1990 por Toaplan.
00123568n|Transformers: The Game es un videojuego de Transformers donde podras elegir entre los bandos de los Decepticons o de los Autobots.
00123609n|Arkista's Ring es un videojuego desarrollado y distribuido por American Sammy para el Nintendo Entertainment System en 1990.
00127527n|Final Fantasy VIII es un juego creado en 1999, la banda sonora del juego fue compuesta tanto para su version en PlayStation como su version en Windows.
00129406n|.kkrieger es un videojuego desarrollado por.theprodukkt en 2004 para Microsoft Windows.
00129939n|Ghosts 'n Goblins es un videojuego de plataformas de arcade creado por Capcom.
00130828n|Rez, desarrollado bajo los nombres clave K-Project, Project Eden y Vibes, es un videojuego del tipo Shoot 'em up/Musical lanzado por Sega el año 2001 en Japon para las consolas Dreamcast y PlayStation 2, con un lanzamiento en Europa para Dreamcast y para PlayStation 2 en Estados Unidos el año 2002.
00130904n|Alien Hominid es un videojuego desarrollado independientemente para las consolas Sony PlayStation 2 y Nintendo GameCube en 2004, con el distribuidor O~3 Entertainment en territorios EE.
00131532n|Beautiful Katamari es un videojuego de Namco Bandai Holdings para la Xbox 360, esperado para ser el cuarto juego de la serie de juegos Katamari, despues de Katamari Damacy, We  Katamari y Me & My Katamari.
00133369n|Prince of Persia: El Alma del Guerrero es un videojuego que enlaza Prince of Persia: Las Arenas del Tiempo con Prince of Persia: Las Dos Coronas.
00133524n|FreeCol es un videojuego de estrategia por turnos y de construccion de imperios.
00133797n|Imperivm III: Las grandes batallas de Roma es un videojuego de estrategia para PC producido por FX Interactive, basado en hechos historicos ocurridos en Europa y el Norte de Africa.
00134352n|Dragon Age: Origins conocido popularmente como Dragon Age es un videojuego de rol desarrollado por BioWare y publicado en noviembre de 2009 para Microsoft Windows y las videoconsolas PlayStation 3 y Xbox 360.
00135451n|Shin Chan: Las nuevas aventuras para Wii es un videojuego desarrollado y publicado por Banpresto para Wii, basado en el manga y anime Crayon Shin-chan.
00136402n|Detective Conan: La investigacion de Mirapolis es un videojuego para la consola Wii de la serie Detective Conan, cuya fecha de salida en Japon fue en el año 2007.
00136427n|Ferrari Challenge: Trofeo Pirelli es un juego de carreras basado en el Ferrari Challenge y desarrollado por Eutechnyx, siendo distribuido por System 3.
00136453n|La Brujula Dorada es un videojuego de accion-aventura desarrollado por Shiny Entertainment y publicado por SEGA a finales de 2007 para las consolas Nintendo DS, Wii, PlayStation Portable, PlayStation 2, PlayStation 3 y Xbox 360, y tambien para PC.
00136470n|Legend of the Dragon es un videojuego de lucha de Game Factory para Wii, PlayStation 2 y PlayStation Portable.
00136667n|Little Big Adventure es un videojuego originalmente lanzado al mercado a finales de 1994.
00137047n|Vib-Ribbon es un videojuego musical para PlayStation creado por Masaya Matsuura y su compañia NanaOn-Sha.
00137292n|Futurama es un videojuego de plataformas en 3D basado en la serie de dibujos animados de ciencia ficcion Futurama.
00137617n|Grand Theft Auto Advance es un videojuego lanzado el 25 de octubre de 2004 para Game Boy Advance, la portatil de Nintendo con unos graficos y estilo de juego muy parecidos a los de los primeros juegos de la Grand Theft Auto como Grand Theft Auto y GTA 2.
00141123n|Neverball es un videojuego open source de plataformas en 3D similar a Super Monkey Ball.
00143884n|Sonic the Hedgehog 3 es un videojuego desarrollado por Sonic Team y distribuido por Sega en 1994 para el sistema de entretenimiento informatico Mega Drive protagonizado por Sonic el Erizo y Tails el Zorro.
00145718n|X-Men: Children of the Atom es un juego arcade que fue producido por Capcom y salio para la placa Arcade CPS-2 en 1994.
00147232n|La leyenda de Spyro: la noche eterna es un videojuego de accion desarrollado por Krome Studios, Amaze Entertainment y The Mighty Troglodytes y publicado por Sierra Entertainment una version para Playstation 2, Wii, Game Boy Advance y Nintendo DS por Vivendi Universal Games una version para telefonos moviles.
00149207n|X-men es un videojuego de arcade en 1992 y publicado por konami.
00149301n|Lego Batman: The Videogame es un videojuego de accion-aventura basado en los comics de Batman, personaje de DC Comics, y ambientado en el mundo de bloques de LEGO.
00149761n|Vampire Killer, es un videojuego para el ordenador MSX2, producido por Konami y distribuido en Japon, Europa y Brasil.
00150764n|Wipeout Pulse es un videojuego de carreras para la videoconsola portatil PlayStation Portable de Sony.
00150948n|Bucky O'Hare es un juego de arcade producido por Konami en 1992.
00151818n|Priston Tale en coreano:     es un videojuego de rol multijugador masivo en linea o MMORPG de fantasia en 3D desarrollado en Corea del sur por la empresa Yedang Online y lanzado al mercado en el año 2001.
00151923n|The Simpsons es un videojuego arcade producido en el año 1991 por la empresa japonesa Konami.
00152012n|Operation Wolf es un videojuego de tipo shooter para un unico jugador realizado por Taito en 1987 en formato de maquina recreativa.
00152362n|Mario & Sonic at the Olympic Games, conocido en Japon como, es un videojuego de deportes tipo crossover desarrollado por Sega Sports R&D Department de Sega Japon.
00155420n|NiGHTS: Journey of Dreams es un videojuego en desarrollo para la consola Wii de Nintendo.
00156662n|MediEvil es un videojuego de aventuras para PlayStation lanzado en octubre de 1998 en Europa y America del Norte y en junio de 1999 en Japon.
00156934n|Rampage es un video juego Arcade de 1986 desarrollado por Bally Midway.
00160442n|International Superstar Soccer 2000 es un videojuego de futbol de la serie International Superstar Soccer creado por la compañia japonesa KONAMI y producido por Major A.
00160688n|Jade Empire es un juego de rol de accion, desarrollado por la compañia canadiense BioWare.
00161132n|Rock Band es un videojuego de Harmonix Music Systems, publicado por MTV Games y distribuido por Electronic Arts.
00161931n|The Elder Scrolls IV: Oblivion es un videojuego de rol de accion de mundo abierto desarrollado por Bethesda Game Studios y publicado por Bethesda Softworks y Take-Two Games Interactive, filial de 2K Games.
00163193n|Savage es un videojuego de accion desarrollado por Probe Software y distribuido por Firebird Software en 1988 para Amiga, ZX Spectrum, Commodore 64 y Amstrad CPC.
00163243n|Wizball es un videojuego escrito por Jon Hare y Chris Yates y editado en 1987 para Commodore 64, ZX Spectrum y Amstrad CPC.
00165190n|La Batalla por Wesnoth es un videojuego de estrategia por turnos con ambientacion fantastica.
00165336n|Air Fortress es un videojuego de plataformas desarrollado por HAL Laboratory y publicado en Japon en 1987 y luego en Norteamerica en 1989 para la Nintendo Entertainment System.
00165392n|Cobra Mission: Panic in Cobra City es un videojuego para MS-DOS comercializado en 1992 en America del Norte por la ya desaparecida empresa Megatech Software.
00165531n|Picross DS es un videojuego de logica para la consola Nintendo DS, desarrollado por Jupiter y distribuido por Nintendo.
00166241n|The Magic of Scheherazade es un videojuego para la Nintendo Entertainment System, lanzado por Culture Brain en 1989.
00166260n|Fantasy Zone es un juego de Arcade creado por SEGA en 1986.
00166280n|Commando es un juego arcade del genero shoot 'em up de desplazamiento vertical lanzado en 1985.
00167323n|2 Xtreme es un videojuego de carreras lanzado para la consola PlayStation en 1996 el cual es secuela de 1xtreme que fue patrocinado por ESPN.
00168308n|Mortal Kombat Trilogy es el quinto videojuego de la serie de videojuegos de lucha Mortal Kombat, la segunda actualizacion de la tercera entrega, publicado por Midway Games en 1996 inicialmente para Nintendo 64, y, tras negociaciones, fue publicado tambien para PlayStation, Sega Saturn y PC.
00168370n|Mortal Kombat II es la segunda parte del videojuego del genero de peleas 1 vs 1, Mortal Kombat que aparecio en el mercado el año 1993 en Arcade de manos de Midway.
00169531n|BloodRayne 2, desarrollado por Terminal Reality, es un videojuego de disparos en tercera persona de terror, este no sigue donde termino BloodRayne en cambio, se lleva a cabo a 60 y 70 años mas tarde, en un escenario contemporaneo.
00169990n|Los videojuegos en linea son aquellos videojuegos jugados via Internet independientemente de la plataforma.Puede tratase de videojuegos multijugador, en los que se juega con otras personas o videojuegos de navegador que se descargan desde la web y se ejecutan en el navegador.
00171283n|Disco No. 1 es un videojuego creado en 1982 por la empresa Data East para el sistema DECO Cassette System.
00172972n|The Saboteur es un videojuego de accion en tercera persona, desarrollado por Pandemic Studios y publicado por Electronic Arts cuya historia tiene lugar durante la ocupacion nazi de Paris en la Segunda Guerra Mundial.
00173407n|Supaplex es un videojuego creado por Michael Stopp y Philip Jespersen, dos estudiantes suizos, y publicado por Digital Integration en 1991.
00176142n|Nacho Libre es un videojuego para la consola del Nintendo DS basado en la pelicula del mismo titulo.
00176269n|Silent Hill: The Arcade es un videojuego de disparos desarrollado y publicado por Konami en 2007 para el Arcade.
00177315n|Jet Set Radio, es un juego de skate y grafiti callejero creado por Sega para Dreamcast.
00177664n|Chakan: The Forever Man es un videojuego de Sega Mega Drive, Genesis publicado por Sega of America el 8 de junio de 1992.
00181600n|E.T. the Extra-Terrestrial es un videojuego de aventura desarrollado y publicado por Atari, Inc. para su Atari 2600.
00182847n|Disney's Villain's Revenge es un videojuego para Microsoft Windows y Mac OS X.
00183352n|Teenage Mutant Ninja Turtles es un videojuego arcade producido por Konami en 1989.
00184333n|Fat Worm Blows a Sparky es un videojuego de accion y laberintos creado por Julian Todd en los cinco meses previos a su ingreso en la Universidad.
00184581n|Super Street Fighter II Turbo HD Remix es un juego de la PlayStation 3 y Xbox Live Arcade lanzado en el año 2008.
00184670n|Blob Wars: Metal Blob Solid es un videojuego open source codificado por Parallel Realities.
00185380n|Paper Mario: The Thousand-Year Door es un juego del genero RPG desarrollado por la compañia Intelligent Systems y publicado por Nintendo para la consola Nintendo GameCube.
00185855n|La Saga de videojuegos \"Golden Axe\" esta formada por el juego original, de nombre homonimo, sus secuelas y juegos derivados del titulo original, que no son considerados como secuelas.
00190714n|Warmachine es un juego de miniaturas por turnos, creado por la compañia estadounidense Privateer Press, que a su vez ha sido traducido y distribuido en 2004 en España por Edge Entertainment.
00192204n|Mario Kart DS usualmente abreviado a MKDS, es un videojuego de carreras desarrollado por Nintendo EAD y publicado por Nintendo para Nintendo DS.
00192216n|Wave Race: Blue Storm es un videojuego de carreras de motos de agua desarrollado por Nintendo Software Technology en 2001 para la consola Nintendo GameCube.
00192829n|Downhill Domination es un videojuego de carreras de ficcion por corredores en bicicletas.
00194736n|Crash of the Titans es un videojuego de aventura y plataformas publicado por Sierra Entertainment y desarrollado por Radical Entertainment para el 2007 perteneciente a la saga Crash Bandicoot.
00195537n|Worms Open Warfare II es un videojuego tipo estrategia-plataforma-tiros por turnos.
00196998n|Nicktropolis es un videojuego de rol multijugador masivo en linea que es parte de Nick.com.
00197333n|Code Lyoko, en castellano Codigo Lyoko, es un videojuego de accion y de rol basado en la serie animada francesa de Codigo Lyoko, siendo el primer videojuego basado en dicha serie.
00197832n|Football Manager Live es un videojuego desarrollado por Sports Interactive en 2007.
00197836n|Commandos: Behind Enemy Lines es un videojuego de tactica en tiempo real, primero de la serie Commandos, creado por la empresa española Pyro Studios y publicada por Eidos Interactive, ambientando la Segunda Guerra Mundial en Europa y Africa.
00199199n|River Patrol es un videojuego arcade publicado en 1981 por la empresa japonesa Orca y distribuido en Estados Unidos por Kestern.
00199515n|Bird Week es un videojuego de simulacion de la naturaleza para la videoconsola Famicom publicado en 1986.
00201667n|Sonic X-treme es un videojuego de plataformas basado en la franquicia de Sonic the Hedgehog, que no llego a salir al mercado.
00203015n|Battlefield 2: Modern Combat es un videojuego que entra dentro de la serie de videojuegos Battlefield.
00204413n|Star Wars: Galactic Battlegrounds es un videojuego de estrategia en tiempo real para PC publicado en 2001 por LucasArts, a la que le fue licenciado por parte de Ensemble Studios el motor grafico GameGenie.
00205798n|MPLE "The Legend of Zelda: The Minish Cap es el duodecimo videojuego de la saga The Legend of Zelda, desarrollado por Flagship bajo la supervision de Nintendo en el proceso de desarrollo.
00206466n|Medal of Honor: European Assault es un videojuego de la serie Medal of Honor, esta version esta basada en algunas de las batallas mas importantes de Belgica, Francia, Rusia y Africa.
00206672n|Tom Clancy's EndWar es un videojuego de tactica en tiempo real diseñado por Shanghai Ubisoft para el PlayStation 3, Xbox 360 y Microsoft Windows.
00207721n|RollerCoaster Tycoon 3 es videojuego de simulacion y estrategia para PC en el que el jugador se encarga de la administracion de un parque de atracciones.
00207943n|The Battle of Olympus es un videojuego de accion/RPG para la Nintendo Entertainment System de Nintendo, creado por la compañia Imagineer y publicado el 28 de marzo de 1988 en Japon bajo el nombre ~Ai no Densetsu~Oryunposu no Tatakai.
00208312n|La Fuga de Colditz es un juego de mesa producido por Parker Brothers.
00208590n|Call of Duty 4: Modern Warfare es un videojuego de disparos en primera persona de estilo belico, desarrollado por Infinity Ward y distribuido por Activision.
00209552n|Cyber Cross: Busou Keiji es un videojuego de accion de tipo Beat'em up de un solo jugador el cual fue lanzado para la PC Engine en el año 1989 usando el formato de disquete, fue desarrollado por la Face Corporation.
00210057n|Odin Sphere es un videojuego de rol de accion 2D de fantasia.
00211516n|Rock 'N' Bolt es un videojuego de logica desarrollado por Action Graphics en 1985 y publicado por Activision.
00213595n|Custom Robo, conocido en Japon como, es un videojuego para la Nintendo GameCube.
00214402n|Bus Driver es un videojuego para PC creado por SCS Software y publicado por Friendware que simula la conduccion de autobuses urbanos y otros.
00214587n|Beach-Head es un videojuego desarrollado y publicado en 1983 por Access Software para las computadoras domesticas Commodore 64 y Atari de 8 bits.
00216335n|Star Ocean: The Last Hope es el cuarto videojuego de rol de la serie Star Ocean desarrollado por tri-Ace y publicado por Square Enix inicialmente para Xbox 360, lanzado durante el 2009.
00216900n|Moon Cresta es un videojuego matamarcianos creado en 1980 por la empresa japonesa Nichibutsu.
00219619n|Kingdom Hearts: Chain of Memories es un videojuego japones creado exclusivamente para Game Boy Advance por Square Enix.
00223206n|007: Licence to kill es un videojuego de 1989 basado en la pelicula de James Bond del mismo nombre, desarrollado por Quixel y publicado por Domark en 1989.
00223780n|The Simpsons Game es un videojuego de accion y plataforma basado en la serie animada de television Los Simpson, esta disponible para las consolas Wii, PlayStation 3, Xbox 360, Playstation 2, Nintendo DS y PlayStation Portable.
00223953n|Lineage III es un juego de fantasia del tipo MMORPG para PC y una secuela de Lineage II desarrollada por NCsoft.
00224013n|Warcraft, el juego de rol, es un juego de rol basado en el videojuego de mismo nombre.
00224199n|El padelbol es un juego de una sola persona con una pelota unida a una paleta.
00224824n|3D Monster Maze es un videojuego ingles para la computadora Sinclair ZX81, desarrollado por Malcolm Evans en el año 1981.
00226559n|Revolution X es un videojuego de tipo shoot 'em up desarrollado y publicado por Midway Games, lanzado en el año 1994.
00227526n|Tom Clancy's Splinter Cell: Pandora Tomorrow es un videojuego basado en sigilo y publicado por Ubisoft Shanghai, mientras que Ubisoft Montreal, creador del Splinter Cell original, estaba trabajando en Chaos Theory.
00227663n|Tom Clancy's Splinter Cell: Chaos Theory es un juego de accion/sigilo en tercera persona desarrollado y publicado por Ubisoft.
00229495n|Top Gear es un videojuego de carreras para la consola Super Nintendo publicado en 1992.
00229689n|Bubble Symphony, conocido en Europa con el nombre de Bubble Bobble II, es un videojuego de plataformas arcade perteneciente a la saga Bubble Bobble, desarrollado por la compañia Taito en 1994.
00230397n|Castlevania: Harmony of Dissonance es un videojuego de Konami para la Game Boy Advance de Nintendo.
00230743n|Doom 3: Resurrection of Evil es un juego de disparos en primera persona, es una expansion para el juego Doom 3.
00231094n|Spider-Man: Friend or Foe es un videojuego de estilo Beat'em up en tercera persona desarrollado por Next Level Games para Wii, Xbox 360 y PlayStation 2, los encargados de videojuegos como Mario Smash Football y Mario Strikers Charged, y por Beenox para PC, mientras que las versiones del juego para Nintendo DS y PlayStation Portable fueron desarrolladas por Artificial Mind and Movement.
00231320n|Mario Power Tennis, conocido en Japon como, es un videojuego de deportes desarrollado por Camelot Software Planning y lanzado por Nintendo para la videoconsola Nintendo GameCube, en 2004.
00233452n|Dissidia: Final Fantasy es un videojuego de accion desarrollado por Square Enix para la consola PlayStation Portable como parte de la campaña del 20. aniversario de la serie de videojuegos Final Fantasy.
00234047n|compani of heroes es un juego de acion de estrategas basado en la segunda guerra mundial Segun lo citado por Kaito Nakamura existen doce fundadores de la compañia y una foto que puede probarlo, a pesar de que en ella no aparece Adam Monroe, un inmortal que  formo el grupo  especificamente en 1977.
