Month,#Passengers,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,t-11,t-12
1953-02-01,196,196,194,172,191,209,230,218,183,181,193,180,180
1953-03-01,236,196,196,194,172,191,242,230,218,183,181,193,193
1953-04-01,235,236,196,196,194,172,209,242,230,218,183,181,181
1953-05-01,229,235,236,196,196,194,191,209,242,230,218,183,183
1953-06-01,243,229,235,236,196,196,172,191,209,242,230,218,218
1953-07-01,264,243,229,235,236,196,194,172,191,209,242,230,230
1953-08-01,272,264,243,229,235,236,196,194,172,191,209,242,242
1953-09-01,237,272,264,243,229,235,196,196,194,172,191,209,209
1953-10-01,211,237,272,264,243,229,236,196,196,194,172,191,191
1953-11-01,180,211,237,272,264,243,235,236,196,196,194,172,172
1953-12-01,201,180,211,237,272,264,229,235,236,196,196,194,194
1954-01-01,204,201,180,211,237,272,243,229,235,236,196,196,196
1954-02-01,188,204,201,180,211,237,264,243,229,235,236,196,196
1954-03-01,235,188,204,201,180,211,272,264,243,229,235,236,236
1954-04-01,227,235,188,204,201,180,237,272,264,243,229,235,235
1954-05-01,234,227,235,188,204,201,211,237,272,264,243,229,229
1954-06-01,264,234,227,235,188,204,180,211,237,272,264,243,243
1954-07-01,302,264,234,227,235,188,201,180,211,237,272,264,264
1954-08-01,293,302,264,234,227,235,204,201,180,211,237,272,272
1954-09-01,259,293,302,264,234,227,188,204,201,180,211,237,237
1954-10-01,229,259,293,302,264,234,235,188,204,201,180,211,211
1954-11-01,203,229,259,293,302,264,227,235,188,204,201,180,180
1954-12-01,229,203,229,259,293,302,234,227,235,188,204,201,201
1955-01-01,242,229,203,229,259,293,264,234,227,235,188,204,204
1955-02-01,233,242,229,203,229,259,302,264,234,227,235,188,188
1955-03-01,267,233,242,229,203,229,293,302,264,234,227,235,235
1955-04-01,269,267,233,242,229,203,259,293,302,264,234,227,227
1955-05-01,270,269,267,233,242,229,229,259,293,302,264,234,234
1955-06-01,315,270,269,267,233,242,203,229,259,293,302,264,264
1955-07-01,364,315,270,269,267,233,229,203,229,259,293,302,302
1955-08-01,347,364,315,270,269,267,242,229,203,229,259,293,293
1955-09-01,312,347,364,315,270,269,233,242,229,203,229,259,259
1955-10-01,274,312,347,364,315,270,267,233,242,229,203,229,229
1955-11-01,237,274,312,347,364,315,269,267,233,242,229,203,203
1955-12-01,278,237,274,312,347,364,270,269,267,233,242,229,229
1956-01-01,284,278,237,274,312,347,315,270,269,267,233,242,242
1956-02-01,277,284,278,237,274,312,364,315,270,269,267,233,233
1956-03-01,317,277,284,278,237,274,347,364,315,270,269,267,267
1956-04-01,313,317,277,284,278,237,312,347,364,315,270,269,269
1956-05-01,318,313,317,277,284,278,274,312,347,364,315,270,270
1956-06-01,374,318,313,317,277,284,237,274,312,347,364,315,315
1956-07-01,413,374,318,313,317,277,278,237,274,312,347,364,364
1956-08-01,405,413,374,318,313,317,284,278,237,274,312,347,347
1956-09-01,355,405,413,374,318,313,277,284,278,237,274,312,312
1956-10-01,306,355,405,413,374,318,317,277,284,278,237,274,274
1956-11-01,271,306,355,405,413,374,313,317,277,284,278,237,237
1956-12-01,306,271,306,355,405,413,318,313,317,277,284,278,278
1957-01-01,315,306,271,306,355,405,374,318,313,317,277,284,284
1957-02-01,301,315,306,271,306,355,413,374,318,313,317,277,277
1957-03-01,356,301,315,306,271,306,405,413,374,318,313,317,317
1957-04-01,348,356,301,315,306,271,355,405,413,374,318,313,313
1957-05-01,355,348,356,301,315,306,306,355,405,413,374,318,318
1957-06-01,422,355,348,356,301,315,271,306,355,405,413,374,374
1957-07-01,465,422,355,348,356,301,306,271,306,355,405,413,413
1957-08-01,467,465,422,355,348,356,315,306,271,306,355,405,405
1957-09-01,404,467,465,422,355,348,301,315,306,271,306,355,355
1957-10-01,347,404,467,465,422,355,356,301,315,306,271,306,306
1957-11-01,305,347,404,467,465,422,348,356,301,315,306,271,271
1957-12-01,336,305,347,404,467,465,355,348,356,301,315,306,306
1958-01-01,340,336,305,347,404,467,422,355,348,356,301,315,315
1958-02-01,318,340,336,305,347,404,465,422,355,348,356,301,301
1958-03-01,362,318,340,336,305,347,467,465,422,355,348,356,356
1958-04-01,348,362,318,340,336,305,404,467,465,422,355,348,348
1958-05-01,363,348,362,318,340,336,347,404,467,465,422,355,355
1958-06-01,435,363,348,362,318,340,305,347,404,467,465,422,422
1958-07-01,491,435,363,348,362,318,336,305,347,404,467,465,465
1958-08-01,505,491,435,363,348,362,340,336,305,347,404,467,467
1958-09-01,404,505,491,435,363,348,318,340,336,305,347,404,404
1958-10-01,359,404,505,491,435,363,362,318,340,336,305,347,347
1958-11-01,310,359,404,505,491,435,348,362,318,340,336,305,305
1958-12-01,337,310,359,404,505,491,363,348,362,318,340,336,336
1959-01-01,360,337,310,359,404,505,435,363,348,362,318,340,340
1959-02-01,342,360,337,310,359,404,491,435,363,348,362,318,318
1959-03-01,406,342,360,337,310,359,505,491,435,363,348,362,362
1959-04-01,396,406,342,360,337,310,404,505,491,435,363,348,348
1959-05-01,420,396,406,342,360,337,359,404,505,491,435,363,363
1959-06-01,472,420,396,406,342,360,310,359,404,505,491,435,435
1959-07-01,548,472,420,396,406,342,337,310,359,404,505,491,491
1959-08-01,559,548,472,420,396,406,360,337,310,359,404,505,505
1959-09-01,463,559,548,472,420,396,342,360,337,310,359,404,404
1959-10-01,407,463,559,548,472,420,406,342,360,337,310,359,359
1959-11-01,362,407,463,559,548,472,396,406,342,360,337,310,310
1959-12-01,405,362,407,463,559,548,420,396,406,342,360,337,337
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
